table_name,column_name,data_type,is_nullable
acces_invite_debit,cle,text,NO
acces_invite_debit,fenetre,timestamp with time zone,NO
acces_invite_debit,portee,text,NO
acces_invite_debit,compteur,integer,NO
avis_partenaires,id,uuid,NO
avis_partenaires,projet_id,uuid,NO
avis_partenaires,evaluateur_id,uuid,NO
avis_partenaires,evalue_id,uuid,NO
avis_partenaires,note,integer,NO
avis_partenaires,commentaire,text,YES
avis_partenaires,created_at,timestamp with time zone,YES
chat_last_viewed,user_id,uuid,NO
chat_last_viewed,tender_id,uuid,NO
chat_last_viewed,last_viewed_at,timestamp with time zone,YES
chat_messages,id,uuid,NO
chat_messages,tender_id,uuid,NO
chat_messages,sender_id,uuid,NO
chat_messages,content,text,YES
chat_messages,created_at,timestamp with time zone,YES
chat_messages,type,text,YES
chat_messages,metadata,jsonb,YES
collaborateurs,id,uuid,NO
collaborateurs,utilisateur_id,uuid,YES
collaborateurs,role,text,NO
collaborateurs,est_utilisateur,boolean,NO
collaborateurs,created_at,timestamp without time zone,NO
collaborateurs,email,text,NO
collaborateurs,competences,ARRAY,NO
collaborateurs,nom,text,NO
collaborateurs,aos,ARRAY,YES
collaborateurs,company,text,YES
collaborateurs,status,text,YES
collaborateurs,uploaded_documents,jsonb,YES
collaborateurs,accepted_at,timestamp without time zone,YES
collaborateurs,rejected_at,timestamp without time zone,YES
collaborateurs,last_updated,timestamp without time zone,YES
collaborateurs,modified_at,timestamp without time zone,YES
company_domains,entreprise_id,uuid,NO
company_domains,domain_id,text,NO
company_expertise_tags,entreprise_id,uuid,NO
company_expertise_tags,tag_id,text,NO
company_expertise_tags,custom_label,text,YES
company_geo_zones,entreprise_id,uuid,NO
company_geo_zones,geo_zone_id,text,NO
company_natures,entreprise_id,uuid,NO
company_natures,nature,text,NO
company_specialties,entreprise_id,uuid,NO
company_specialties,specialty_id,text,NO
company_specialties,custom_label,text,YES
connexions,id,uuid,NO
connexions,user_id,uuid,NO
connexions,ip,text,YES
connexions,user_agent,text,YES
connexions,appareil,text,YES
connexions,methode,text,YES
connexions,created_at,timestamp with time zone,NO
contestations_entreprise,id,uuid,NO
contestations_entreprise,entreprise_id,uuid,NO
contestations_entreprise,demandeur_id,uuid,NO
contestations_entreprise,motif,text,NO
contestations_entreprise,justificatif,text,YES
contestations_entreprise,statut,text,NO
contestations_entreprise,note_traitement,text,YES
contestations_entreprise,created_at,timestamp with time zone,NO
contestations_entreprise,traite_le,timestamp with time zone,YES
demandes_rattachement,id,uuid,NO
demandes_rattachement,entreprise_id,uuid,NO
demandes_rattachement,utilisateur_id,uuid,NO
demandes_rattachement,statut,text,NO
demandes_rattachement,motif_refus,text,YES
demandes_rattachement,created_at,timestamp with time zone,NO
demandes_rattachement,traite_le,timestamp with time zone,YES
demandes_rattachement,traite_par,uuid,YES
depots_pieces,id,uuid,NO
depots_pieces,tender_id,uuid,NO
depots_pieces,destinataire_id,uuid,NO
depots_pieces,auteur_id,uuid,YES
depots_pieces,auteur_libelle,text,YES
depots_pieces,type_piece,text,YES
depots_pieces,nom_piece,text,YES
